الشركات
شركة سدر
شركة كراكر
شركة الرسين للصيانة
شركة الهلب
شركة أفراس للتجارة 
شركة حسين العماري (هاه)
شركة أفيراد
شركة بوصلة البنيان
شركة نهضة التنمية
شركة شيل للمقاولات
شركة أرض القوة البيئي
شركة مكعبات للخدمات
شركة دلتا الحلول
شركة سيف الشرق 
شركة ابتكار المتقدمة
شركة كيان للخدمات
شركة سرعة الآداء
شركة المقاييس الدولية 
شركة ارغام
شركة اعمال صحارى
شركة مواسم للخدمات 
شركة سبائك الماسة 
شركة سرايا الجزيرة 
شركة نطوان
شركة الاء الرائدة 
شركة ركن المهارة 
شركة نباتات للمقاولات
شركة حواجز الرمال 
شركة كابر 
